EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20210301,링컨,196000,13.5
20180201,랜드로버,189000,13.4
20190701,BMW,212000,13.8
20190601,벤츠,233000,14.1
20200401,벤츠,227000,13.8
20170601,마쯔다,156000,11.3
20230801,스즈키,190000,8.3
20231001,아큐라,203000,15.0
20160101,포드,203000,12.8
20161201,미쓰비시,153000,10.1
20231201,지프,222000,14.1
20161101,크라이슬러,188000,12.3
20190501,닷지,208000,16.0
20210801,캐딜락,134000,13.8
20161201,렉서스,206000,11.4
20170901,벤츠,219000,13.5
20220401,지프,263000,14.5
20181101,푸조,196000,11.6
20160501,링컨,158000,12.9
20170801,벤츠,209000,13.7
20230801,링컨,184000,13.7
20200101,BMW,217000,13.7
20230701,스바루,213000,11.4
20191001,크라이슬러,207000,13.5
20220301,푸조,191000,12.4
20190501,닛산,162000,9.6
20210801,아큐라,308000,15.2
20160401,재규어,266000,6.8
20180201,폭스바겐,195000,10.7
20240201,다이하쓰,129000,12.8
20210601,인피니티,197000,12.5
20170801,사이언,163000,10.0
20151201,혼다,185000,9.9
20160101,렉서스,168000,10.5
20200801,아큐라,183000,16.1
20220301,크라이슬러,209000,14.3
20151101,크라이슬러,220000,12.0
20210301,재규어,210000,11.6
20170501,미쓰비시,172000,11.8
20170101,Chevrolet,290000,8.4
20200301,포르쉐,135000,9.0
20161201,닷지,219000,16.6
20210501,포드,211000,13.4
20200501,뷰익,160000,8.9
20220901,닷지,262000,17.3
20221001,볼보,222000,15.3
20220701,미쓰비시,159000,9.2
20180701,닷지,260000,20.1
20200301,크라이슬러,207000,13.5
20220201,푸조,202000,12.7
20191101,아우디,195000,12.7
20191001,닛산,201000,10.6
20230301,아큐라,118000,13.5
20240101,미쓰비시,191000,14.5
20230401,머큐리,196000,11.9
20200501,포르쉐,202000,13.0
20151101,BMW,218000,13.9
20180301,미니,138000,10.8
20230601,미니,165000,12.7
20221001,미니,161000,12.8
20190301,미니,149000,10.1
20170701,미니,114000,7.8
20181201,미니,126000,10.4
20170201,미니,186000,8.7
20190901,미니,148000,11.9
20180701,스바루,254000,12.3
