EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20191001,KGM,230000,16.0
20200601,르노코리아,218000,15.2
20170501,한국지엠,177000,15.3
20170401,기아,217000,15.1
20170401,한국지엠,176000,15.2
20161001,한국지엠,184000,15.2
20170501,기아,215000,15.2
20221101,현대,224000,16.9
20200601,KGM,230000,16.1
20200301,한국지엠,179000,15.2
20180401,현대,217000,16.4
20180301,기아,223000,15.3
20190301,한국지엠,179000,15.2
20210901,기아,220000,15.6
20240301,한국지엠,181000,16.3
20190801,기아,219000,15.6
20180501,KGM,239000,15.6
20220601,르노코리아,213000,15.5
20240401,한국지엠,188000,16.1
20211001,르노코리아,218000,15.4
20210101,한국지엠,178000,15.2
20240501,기아,223000,15.9
20240201,현대,223000,17.0
20220701,르노코리아,214000,15.5
20190801,한국지엠,180000,15.3
20201101,기아,222000,15.7
20190401,르노코리아,227000,14.5
20230101,기아,213000,15.5
20210201,기아,213000,15.2
20220501,KGM,230000,17.1
20231201,르노코리아,213000,16.3
20230901,르노코리아,214000,16.1
20240401,기아,229000,16.0
20221201,르노코리아,211000,16.1
20160801,KGM,242000,15.1
20220201,한국지엠,179000,15.5
20220401,한국지엠,179000,15.4
20240401,KGM,227000,16.8
20190101,르노코리아,222000,14.4
20180901,KGM,238000,15.5
20160401,한국지엠,184000,15.2
20230801,한국지엠,180000,15.9
20200401,KGM,230000,16.3
20240301,르노코리아,213000,16.3
20211201,한국지엠,180000,15.4
20240501,KGM,226000,16.5
20230801,KGM,229000,16.1
20180101,KGM,237000,15.1
20230501,르노코리아,216000,16.2
20170101,KGM,233000,15.0
20240601,쉐보레,180000,11.3
20231101,쉐보레,175000,10.6
20190301,르노코리아,225000,14.6
20210401,한국지엠,178000,15.3
20230801,쉐보레,181000,10.6
20161001,KGM,242000,15.1
20160201,KGM,237000,14.7
20150901,KGM,242000,14.7
20210201,KGM,222000,15.8
20170201,르노코리아,224000,13.7
20170701,르노코리아,229000,14.0
20200701,쉐보레,171000,7.9
20171201,쉐보레,142000,6.2
20180701,쉐보레,159000,6.4
20180101,쉐보레,141000,6.1
20240101,제네시스,173000,6.4
20220401,제네시스,138000,5.2
20221201,제네시스,169000,5.7
20231001,제네시스,164000,6.6
20220501,제네시스,123000,5.1
20171101,현대,215000,16.5
20180601,현대,216000,16.6
20220901,KGM,228000,16.5
20200101,기아,217000,15.4
20220401,현대,225000,16.9
20151101,기아,214000,14.9
20220801,KGM,229000,16.4
20210101,현대,218000,16.3
20200101,현대,214000,16.3
20180401,한국지엠,180000,15.4
20240501,현대,230000,17.0
20180501,한국지엠,181000,15.4
20161001,현대,211000,16.5
20190501,한국지엠,179000,15.4
20220601,KGM,229000,16.7
20240101,현대,225000,17.0
20180301,한국지엠,179000,15.4
20190801,현대,216000,16.5
20201001,기아,224000,15.8
20180801,한국지엠,179000,15.5
20191201,르노코리아,222000,14.8
20150701,한국지엠,186000,14.9
20220201,KGM,225000,15.5
20171201,KGM,237000,15.3
20160601,기아,214000,15.1
20181201,한국지엠,176000,15.5
20181001,기아,221000,15.5
20171201,기아,215000,15.4
20180601,기아,217000,15.4
20240101,한국지엠,177000,16.1
20160301,한국지엠,186000,15.0
20161201,한국지엠,182000,15.4
20211201,현대,221000,16.6
20180401,기아,221000,15.4
20190601,르노코리아,221000,14.6
20231001,기아,222000,15.9
20170301,기아,220000,15.0
20221101,기아,219000,15.9
20230701,한국지엠,180000,16.0
20230601,르노코리아,215000,16.3
20201201,KGM,227000,16.5
20201001,한국지엠,180000,15.1
20230801,르노코리아,215000,16.0
20230801,기아,222000,15.8
20210101,기아,212000,15.1
20240101,르노코리아,211000,16.2
20180201,KGM,238000,15.4
20221001,르노코리아,212000,16.1
20200501,르노코리아,218000,15.1
20200801,르노코리아,219000,14.9
20210501,한국지엠,179000,15.4
20231201,KGM,226000,16.4
20180201,한국지엠,179000,15.4
20210101,르노코리아,216000,15.1
20151101,한국지엠,185000,15.0
20240301,KGM,225000,16.3
20230701,KGM,224000,16.2
20231101,한국지엠,177000,16.2
20170101,르노코리아,225000,13.8
20210801,쉐보레,169000,8.7
20210201,르노코리아,220000,15.1
20220501,쉐보레,175000,9.5
20240301,쉐보레,180000,11.0
20211001,쉐보레,172000,8.9
20151101,KGM,244000,14.7
20151101,르노코리아,237000,13.0
20150901,르노코리아,242000,13.1
20170401,르노코리아,234000,14.1
20160401,르노코리아,243000,13.6
20160501,르노코리아,242000,13.7
20160201,르노코리아,233000,12.9
20210301,쉐보레,167000,8.4
20200201,쉐보레,150000,7.5
20190701,쉐보레,156000,7.1
20191201,쉐보레,160000,7.2
20180201,쉐보레,153000,6.2
20190601,쉐보레,160000,6.9
20171101,쉐보레,133000,5.9
20170301,쉐보레,131000,5.6
20161101,쉐보레,152000,5.3
20220301,제네시스,204000,6.0
20240401,제네시스,165000,6.8
20230701,제네시스,198000,6.5
20240601,제네시스,221000,7.2
20220101,제네시스,119000,5.4
20230101,제네시스,148000,6.1
20230901,제네시스,163000,7.1
20230201,제네시스,129000,5.6
20221101,제네시스,197000,5.9
20210601,제네시스,145000,5.4
